ID,Title,Category,Duration,Rating,Rating Count,Release Date,Popularity,Director,Writer,Description,Story,Details
10,"B.D. in alert ,","Action,Comedy",1h 35min,8.7,"1,242","26 July 1971 (Romania)
,",,Mircea Dragan,"Mircea Dragan,Nicolae Tic",,"During the 1970s Romania three petty inept criminals are released from jail. Upon their release from jail the three friends, Gogu, Trandafir and Patraulea vow to become law-abiding citizens and to seek jobs. They also consider their top-priority to find wives and get married. At the same time a local team of cops led by Major Dobrescu and Captain Panait investigate a case of money counterfeiting. The three paroled cons accidentally get hold of and use some of the counterfeit bills without knowing that the money is fake. The investigating police team suspects that these three paroled ex-cons are somehow involved. To make matters worse the three young pretty girls that our three friends have recently met and have been dating are, in fact, three con women. The girls belong to a burglary gang and they pose as available single women in order to find rich naive men who could be potential burglary victims. Therefore, Gogu, Trandafir and Patraulea unwittingly are walking into two traps at the...                ,","Romania,Romanian,Romania,company contact information,IMDbPro,Mono,Color,Color"
11,Episode #32.100 ,Game-Show,30min,,,"Episode aired 29 January 2016
,",,Kevin McCarthy,Merv Griffin,,,"company contact information,IMDbPro"
12,"Jason X ,","Action,Horror,Sci-Fi",1h 31min,4.4,"39,394","26 April 2002 (USA)
,",,James Isaac,"Victor Miller,Todd Farmer",,"Set way in the future, Earth is no longer inhabitable, so humans have colonized in outer space. One colony receives two cryogenically frozen bodies, and when they defrost them, one of the bodies turns out to be.....who else? Jason Voorhees. No longer in the forest or Camp Crystal Lake, Jason stalks the colonists in a whole new environment.                ,","e-Pipoca - synopsis, wallpaper, trailer [Brazil] (Portuguese),New Line (prod co.) (distributor),USA,Canada,English,Ontario, Canada,company contact information,IMDbPro,Dolby Digital,Color"
13,"Gladiator ,","Action,Adventure,Drama",2h 35min,8.5,"997,042","5 May 2000 (USA)
,",,Ridley Scott,"David Franzoni,David Franzoni",,"Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge.                ,","Official Facebook,USA,UK,English,Morocco,company contact information,IMDbPro,SDDS,DTS,Dolby Digital,Color"
14,"Blow ,","Biography,Crime,Drama",2h 4min,7.6,"200,037","6 April 2001 (USA)
,",,Ted Demme,"Bruce Porter,David McKenna",,"A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.                ,","New Line Cinema,USA,English,Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA,company contact information,IMDbPro,DTS,Dolby Digital,SDDS,Color"
15,Monster ,"Drama,Horror,Sci-Fi",43min,7.1,"2,699","Episode aired 10 April 2016
,",,Adam Davidson,"Robert Kirkman,Tony Moore",,"Nick brings his family to Strand's yacht in an inflatable rescue boat. Chris grieves his mother and blames Travis for shooting her. Meanwhile Alicia uses the radio and makes contact with a stranger called Jack despite the warning of Strand. Out of the blue, Strand finds that a speed boat is coming in the direction of his boat. Who might be the crew?                ,","USA,English,Spanish,company contact information,IMDbPro,Color"
16,"Riots, Drills and the Devil: Part 2 ","Action,Crime,Drama",1h,9.2,"2,196","Episode aired 3 October 2005
,",,Vern Gillum,"Paul Scheuring,Karyn Usher",,"As the riot rages out of control, Michael makes his way behind the walls to the infirmary to save Dr. Tancredi. Sucre and Abruzzi continue the drilling work on the wall separating general population from the old sewer line. Lincoln tries to make his way back to general to find Michael, but is ambushed by a killer hired to ensure he dies in prison one way or another. Dr. Tancredi's father, the governor of Illinois, decides to push Warden Pope aside and take matters into his own hands to save his daughter's life. On the outside, Veronica and Nick trace the phone call that reported Lincoln's crime to a pay phone in Washington, D.C., meaning the caller couldn't have been a witness. Their actions have attracted notice, however, and a surprise is waiting for them back at Veronica's apartment. Meanwhile, as Teabag keeps an eye on Bob, the guard the inmates have taken hostage and who has seen the escape hole, anxieties grow over how Bob can possibly be trusted to keep his mouth shut once the ...                ,","English,Spanish,Joliet Prison - Collins Street, Joliet, Illinois, USA,company contact information,IMDbPro,Stereo,Color"
17,The Iron Ceiling ,"Action,Adventure,Sci-Fi",43min,8.7,"1,684","Episode aired 3 February 2015
,",,Peter Leto,"Stan Lee,Jack Kirby",,"When Demidov's typewriter sends a message which is encrypted. Carter figures out what it is, a location which they think is a meeting with Stark in Russia. So Dooley sends Thompson to check it out but Carter wants to go. But they won't let her but when she says she can get the Howling Commandos, they let her go. When they get there they discover Stark is not there and something is going on. Dooley talks to someone about Stark who makes him question if Stark is really a traitor. And Sousa through a chance encounter with Carter learns she's the woman they're looking for.                ,","USA,English,Hollywood Studio Club, 1215-1233 Lodi Place, Hollywood, Los Angeles, California, USA,company contact information,IMDbPro,Stereo,Color"
18,"A Wife's Nightmare ,","Drama,Mystery,Thriller",1h 25min,6.3,516,"TV Movie 27 December 2014
,",,Vic Sarin,"Blake Corbet,Dan Trotta",,"Liz, just returned home after a mental breakdown, has to welcome a relative stranger into her home when Caitlin, a young, vivacious woman, claims to be her husband's daughter.","Canada,English,Kelowna, British Columbia, Canada,company contact information,IMDbPro,Stereo,Color"
19,"The African Doctor ,","Biography,Comedy,Drama",1h 36min,6.8,78,"8 June 2016 (France)
,",,Julien Rambaldi,"Benoît Graffin,Benoît Graffin",,"The story of Seyolo Zantoko, who as a freshly graduated doctor of Congolese descent in France, struggled with his family to integrate in a small rural village, and ended up being considered as one of the most respected doctors in the area.","Scope [Belgium],France,French,company contact information,IMDbPro,Color"
20,Suits ,"Comedy,Drama",44min,8.7,"249,449",TV Series (2011– ),"37
      (",Aaron Korsh,"Gabriel Macht,Patrick J. Adams,Meghan Markle","37
      (","While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory. Mike and Harvey are a winning team. Even though Mike is a genius, he still has a lot to learn about law. And while Harvey may seem like an emotionless, cold-blooded shark, Mike's sympathy and concern for their cases and clients will help remind Harvey why he went into law in the first place. Mike's other allies in the office include the firm's best paralegal Rachel and Harvey's no-nonsense assistant Donna to help him serve justice. Proving to be an irrepressible duo and invaluable to the practice, Mike and Harvey must keep their secret from everyone including managing partner Jessica and Harvey's arch nemesis Louis, who seems intent on making Mike's life as ...                ,","Official site,USA,English,Downsview Park Studios, 40 Carl Hall Road, Toronto, Ontario, Canada,company contact information,IMDbPro,Dolby Digital,Color"
21,After Earth/Now You See Me ,"Comedy,Talk-Show",,,,"Episode aired 31 May 2013
,",,Brad Jones,"David Gobble,Brian Irving,Brad Jones",,,"company contact information,IMDbPro"
22,It's Alive! ,"Crime,Drama,Mystery",53min,8.9,"2,998","Episode aired 30 September 2007
,",,Tony Goldwyn,"James Manos Jr.,Jeff Lindsay",,"It is now 38 days since Dexter saved his sister and executed the Ice Truck Killer. Since that time however, Sgt. Doakes has spent all of his free time following Dexter sure in his belief that something about him is wrong. Dexter very much wants to kill someone and when the opportunity finally arrives, finds that he is unable to follow through. His sister Debra, apparently recovered from her ordeal, returns to work but Lt. Laguerta isn't so sure. Rita is happy with her relationship with Dexter, but her husband keeps pressuring her to help him with his defense. The police discover Dexter's burial ground.                ,","USA,English,AMF Bowling Center - 23130 Ventura Blvd., Woodland Hills, Los Angeles, California, USA,company contact information,IMDbPro,Dolby Digital,Color"
23,Venice Film Festival 2011 ,Talk-Show,30min,,,"Episode aired 14 September 2011
,",,"David Stratton,Margaret Pomeranz,Selma Blair",,,"David and Margaret look at some of the films shown at the 2011 Venice Film Festival, interview some of their cast and crew and reveal what movies the jury decided were the winners.","company contact information,IMDbPro"
24,Barakamon ,"Animation,Comedy,Drama",,8.4,897,TV Series (2014– ),,"Terri Doty,Kaji,Daisuke Ono",,,"As a punishment for punching a famous calligrapher, young handsome calligrapher Handa Seishu is exiled to a small island. As someone who has never lived outside of a city, Handa has to adapt to his new wacky neighbors, like people traveling on a tractor, unwanted visitors who never use the front door, annoying kids using his home as a playground, etc. Can this city guy handle all the crazy hardships? Find out in this wacky island comedy full of innocence and laughter! (Source: myanimelist.net)","Japan,Japanese,company contact information,IMDbPro,Dolby Digital,Color"
25,Johnny and Dora ,"Comedy,Crime",22min,9.1,830,"Episode aired 17 May 2015
,",,Dean Holland,"Daniel J. Goor,Michael Schur",,"When Jake and Amy go under cover to catch an identity thief, the investigation brings them closer.","English,CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA,company contact information,IMDbPro,Stereo,Color"
26,Welcome to Sweden ,Comedy,30min,6.7,"4,100",TV Series (2014–2015),,"Greg Poehler,Josephine Bornebusch,Niclas Carlsson","Greg Poehler,Josephine Bornebusch,Lena Olin",,New York accountant Bruce moves to Sweden after falling in love with a Swedish girl.,"Sweden,USA,English,Swedish,company contact information,IMDbPro,Color"
27,"Silver Bullet ,",Horror,1h 35min,6.3,"16,797","11 October 1985 (USA)
,",,Daniel Attias,"Stephen King,Stephen King",,"The small town of Tarker's Mills was a place that was very peaceful, where nothing extraordinary ever happened until one night when murders began. The townspeople believe it's some maniacal killer on the loose whom they intend to hunt down. Marty, a young handicapped boy, believes the killer is no man at all, but a werewolf. After a run-in with the werewolf, Marty and his sister Jane hunt all over town for the man who is the werewolf.                ,","USA,Netherlands,English,Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA,company contact information,IMDbPro,Stereo,Color"
28,"2AM: The Smiling Man ,","Short,Horror",4min,6.4,346,"23 July 2013 (USA)
,",,Michael Evans,Shun Otsubo,,"Imagine you are walking down a road at 2AM, strolling along the pavement at a slow pace, unworried. There is not a soul in sight, it is very quiet and everything looks so calm under the night lights... but you are actually wrong. From a distance, a figure of an odd-looking, slender man, seems to be still, only to realize that the man is steadily approaching you, inspecting you in a way... You switch side on the road, hoping for some kind of an escape, but alas, the man is definitely after you with an otherworldly, eerie smile, closing and closing the gap between the two of you. Now really, what would you do?                ,","USA,English,company contact information,IMDbPro,Color"
29,"Eagle vs Shark ,","Comedy,Romance",1h 28min,6.8,"16,638","30 August 2007 (New Zealand)
,",,Taika Waititi,"Loren Taylor,Taika Waititi",,"In Wellington, Lily is a wallflower, inexplicably attracted to Jerrod, a loser. He's nursing a decade-long grudge against someone who teased him in high school; she's just out of a job. She goes home with him to a seacoast town where he intends to have it out with his nemesis; she meets his father, his daughter from a one-night stand, and other family members - and there's the memory of his talented (and dead) brother. Jerrod treats Lily badly, invents a relationship with a women he had a crush on years before, and gears up for his fight. Will she finally have enough and go home?                ,","NZonScreen listing,Official DVD site,New Zealand,English,New Zealand,company contact information,IMDbPro,Dolby Digital,DTS,Color"
30,Panel Quiz Attack 25 ,Game-Show,,,,TV Series (1975– ),,"Kiyoshi Kodama,Mikako Sawaki,Yuki Akaha",,,,"Official site [Japan],Japan,Japanese,company contact information,IMDbPro,Color"
31,"Suck Me Shakespeer ,",Comedy,1h 59min,7.0,"19,235","7 November 2013 (Germany)
,",,Bora Dagtekin,"Bora Dagtekin,Simon Hauschild",,A comedy that follows an ex-con who lands a position at a school that sits over the spot where money from one of his earlier robberies was stashed.,"Official Facebook,Official Instagram,Germany,German,Munich, Bavaria, Germany,company contact information,IMDbPro,Dolby Digital,Color"
32,The Coat Hanger ,"Drama,Horror,Thriller",40min,8.5,"2,085","Episode aired 12 December 2012
,",,Jeremy Podeswa,"Ryan Murphy,Brad Falchuk",,"Lana learns that she is pregnant and desperately wants to rid herself of the child. Sister Mary Eunice has other plans. Lana also tries to convince Kit that they must kill Thredson, who they've locked away. Monsignor Howard visits Sister Jude who is now an asylum inmate after her attack on Lee Emerson. Everything seems to line up against her but the Monsignor wonders if he is somehow at fault for her breakdown. Emerson has apparently had a religious conversion but he has a surprise for the Monsignor. Dr. Arden tries to make sense of his close encounter and finds some evidence to prove it really happened. He convinces Kit to the next step in his investigation but something quite unexpected happens. In the present day, a new Bloody Face appears.                ,","USA,English,company contact information,IMDbPro,Dolby Digital,Color"
33,"Cinefile: Made in the USA ,",Documentary,1h 18min,,,"TV Movie 1993
,",,"Paul Joyce,Chris Rodley","Robert Altman,Allison Anders,Paul Bartel",,,"UK,English,company contact information,IMDbPro,Color"
34,"The Book of Life ,","Animation,Adventure,Comedy",1h 35min,7.3,"46,560","17 October 2014 (USA)
,",,Jorge R. Gutiérrez,"Jorge R. Gutiérrez,Douglas Langdale",,"From producer Guillermo del Toro and director Jorge Gutierrez comes an animated comedy with a unique visual style. THE BOOK OF LIFE is the journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears. Rich with a fresh take on pop music favorites, THE BOOK OF LIFE encourages us to celebrate the past while looking forward to the future.                ,","Official Facebook,Official Site,USA,English,Spanish,company contact information,IMDbPro,Dolby,Color"
35,"Right Now, Wrong Then ,",Drama,2h 1min,7.3,"1,101","24 September 2015 (South Korea)
,",,Sang-soo Hong,Sang-soo Hong,,"Quite by accident, a film director arrives in town a day early. With time to kill before his lecture the next day, he stops by a restored, old palace and meets a fledgling artist. She's never seen any of his films, but knows he's famous. They talk. And together, they go to her workshop to look at her paintings, have Sushi and Soju. More conversation follows, and drinks, and then an awkward get-together with friends where all sorts of secrets are revealed. All the while, they may or may not be falling for each other. Then, quite unexpectedly, we begin again, but now things appear somewhat different.","Official Facebook,Official Twitter,South Korea,Korean,South Korea,company contact information,IMDbPro,Color"
36,Episode dated 22 July 2007 ,Game-Show,,,,"Episode aired 22 July 2007
,",,,,,,"company contact information,IMDbPro"
37,Lin-Manuel Miranda/Twenty One Pilots ,"Comedy,Music",1h 30min,8.1,92,"Episode aired 8 October 2016
,",,"Alec Baldwin,Jordan Cody Brandon,Jimmy Fallon",,,,"company contact information,IMDbPro"
38,The Night Manager ,"Crime,Drama,Mystery",1h,8.2,"30,208",TV Mini-Series (2016– ),"218
      (","Tom Hiddleston,Hugh Laurie,Elizabeth Debicki",,"218
      (","An Englishman, Jonathan Pine (played by Tom Hiddleston), is working as the night manager of a Cairo hotel. He gets involved with a local woman who is the girlfriend of a local gangster. Through her relationship with the gangster she has acquired information linking illegal international arms sales with Richard Roper (Hugh Laurie), an English billionaire. She is soon found dead, murdered due to her having this information. Fearing for his own life, Pine flees, ending up working at a remote hotel in Switzerland. Two years pass, and then Roper visits the Swiss hotel. This rekindles Pines thirst for revenge, and he is enlisted by British Intelligence to spy on Roper. What follows is a very dangerous game of intrigue and deception.                ,","AMC,BBC,UK,USA,English,Mallorca, Balearic Islands, Spain,company contact information,IMDbPro,Color, Black and White"
39,"Insurgent ,","Adventure,Sci-Fi,Thriller",1h 59min,6.3,"159,031","20 March 2015 (USA)
,",,Robert Schwentke,"Brian Duffield,Akiva Goldsman",,"One choice can transform you-or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves--and herself--while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love. Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable--and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships. Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so.                ,","Official Site,Official site [Japan],USA,English,EUE/Screen Gems Studios Atlanta, 175 Lakewood Way, Atlanta, Georgia, USA,company contact information,IMDbPro,Dolby Atmos,Datasat,Auro 11.1,Dolby Surround 7.1,Color"
40,King of the Damned ,"Drama,Fantasy,Horror",42min,9.0,"1,611","Episode aired 6 May 2014
,",,P.J. Pesce,"Eric Kripke,Eugenie Ross-Leming",,Abaddon makes a deal with Crowley to stop the Winchesters and recover the first blade. Castiel tries to bring Gadreel to his side in the war against Metatron.,"USA,English,company contact information,IMDbPro,Stereo,Color"
41,Suits of Woe ,"Crime,Drama,Thriller",1h 12min,9.6,"2,020","Episode aired 18 November 2014
,",,Peter Weller,"Kurt Sutter,Peter Elkoff",,"As the whole of the Sons of Anarchy organization bears down on the outlaw motorcycle club's California-based Redwood Original chapter, President Jackson ""Jax"" Teller comes face to face with an extremely unpleasant reality.","English,company contact information,IMDbPro,Dolby Digital,Color"
42,"Ed Wood ,","Biography,Comedy,Drama",2h 7min,7.9,"143,487","7 October 1994 (USA)
,",,Tim Burton,"Rudolph Grey,Scott Alexander",,"Because of his eccentric habits and bafflingly strange films, director , is a Hollywood outcast. Nevertheless, with the help of the formerly famous , and a devoted cast and crew of show-business misfits who believe in Ed's off-kilter vision, the filmmaker is able to bring his oversize dreams to cinematic life. Despite a lack of critical or commercial success, Ed and his friends manage to create an oddly endearing series of extremely low-budget films.                ,","USA,English,California, USA,company contact information,IMDbPro,Dolby Digital, Black and White"
43,The One with Rachel's Going Away Party ,"Comedy,Romance",22min,8.9,"1,520","Episode aired 29 April 2004
,",,Gary Halvorson,"David Crane,Marta Kauffman",,"As Rachel prepares to move to Paris, Monica throws a going-away party for her. Rachel privately talks to everyone during the party except for Ross. Ross gets upset, and tells her that he at least deserves a goodbye because of their history. Rachel goes over his apartment, and tells him the reason she did not say goodbye was because it was too hard. That he was more important to her than the others. Then they share a romantic kiss. Meanwhile, Joey and Chandler are putting packing around their head, and hitting each other. Chandler finds handcuffs in the guest room, and assumes they are Monica's, Phoebe's, or Rachel's. They turn out to be Monica and Ross's grandma's handcuffs.                ,","USA,English,USA,company contact information,IMDbPro,Stereo,Color"
44,A House Is Not a Home ,"Action,Crime,Drama",42min,8.0,151,"Episode aired 5 November 2015
,",,Nick Copus,"John Rogers,John Fox",,Kane tries to stop an angry father from seeking revenge; Cassandra sends Kane to the location of the next attack; Mr. Johnson has an underlying motive for going to Chicago.,"English,company contact information,IMDbPro,Stereo,Color"
45,"The Funhouse Massacre ,","Comedy,Horror",1h 30min,5.3,996,"13 November 2015 (USA)
,",,Andy Palmer,"Ben Begley,Ben Begley",,Six of the world's scariest psychopaths escape from a local Asylum and proceed to unleash terror on the unsuspecting crowd of a Halloween Funhouse whose themed mazes are inspired by their various reigns of terror.,"USA,English,company contact information,IMDbPro,Color"
46,"Ghostbusters ,","Action,Adventure,Comedy",1h 45min,7.8,"275,655","8 June 1984 (USA)
,",,Ivan Reitman,"Dan Aykroyd,Harold Ramis",,"Peter Venkman, Ray Stantz and Egon work at the University where they delve into the paranormal and fiddle with many unethical experiments on the students. As they are kicked out of the University do they really understand their knowledge of the paranormal and go into business for themselves. Under the new snazzy business name of 'Ghostbusters', and living in the old firehouse building they work out of, they are called to rid New York City of paranormal phenomenon at everyone's whim.... for a price. They make national press as the media thinks and pressures everybody the Ghostbusters are the cause of it all. Thrown in jail by the EPA, the mayor takes a chance and calls on them to help save the city. Unbeknownst to all, a long dead Gozer worshiper (Evo Shandor) erected downtown apartment building is the cause of all the paranormal activity. They find out the building could resurrect the ancient Hittite god, Gozer, and bring an end to all of humanity. Who are you gonna call to stop this ...                ,","Columbia Pictures,MySpace.com,USA,English,489 Fifth Avenue, Manhattan, New York City, New York, USA,company contact information,IMDbPro,70 mm 6-Track,Dolby,Color"
47,"Saw VI ,","Horror,Mystery",1h 30min,6.0,"77,244","23 October 2009 (USA)
,",,Kevin Greutert,"Patrick Melton,Marcus Dunstan",,"Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood.                ,","Lionsgate [United States],Metropolitan Films [France],Canada,USA,UK,Australia,English,Toronto, Ontario, Canada,company contact information,IMDbPro,Dolby Digital,Color"
48,eps2.9_pyth0n-pt1.p7z ,"Crime,Drama,Thriller",47min,8.7,"1,654","Episode aired 14 September 2016
,",,Sam Esmail,"Sam Esmail,Sam Esmail",,Angela makes an acquaintance; Dom begins seeing the scope of things; an old friend reveals everything to Elliot.,"USA,English,company contact information,IMDbPro,Dolby Digital,Color"
49,Lena Durham & Jenni Konner/Ashley Greene/Birdy/Brann Dailor ,"Comedy,Talk-Show",41min,,,"Episode aired 6 April 2016
,",,Andrew Law,"Seth Meyers,Lena Dunham,Jennifer Konner",,", and , (, (2012)); , (, (2013)). Also: , performs; , sits in with The 8G Band.","USA,English,company contact information,IMDbPro,Color"
50,"Flesh+Blood ,","Adventure,Drama",2h 8min,6.7,"13,067","30 August 1985 (USA)
,",,Paul Verhoeven,"Gerard Soeteman,Gerard Soeteman",,"A band of medieval mercenaries take revenge on a noble lord who decides not to pay them by kidnapping the betrothed of the noble's son. As the plague and warfare cut a swathe of destruction throughout the land, the mercenaries hole up in a castle and await their fate.                ,","Spain,USA,Netherlands,English,Latin,Belmonte, Cuenca, Castilla-La Mancha, Spain,company contact information,IMDbPro,Dolby,Color"
